r thread/INFO]: [Seasons] [SnowGrower] chunk 104,245 grown=2 stale=0 growableB4=239 | cap=253 cov=240 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 101,262 grown=2 stale=0 growableB4=156 | cap=164 cov=160 belowMax=252
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 105,253 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 94,260 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 111,248 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 101,243 grown=2 stale=0 growableB4=227 | cap=238 cov=228 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 114,257 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 103,245 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 113,246 grown=2 stale=0 growableB4=114 | cap=117 cov=115 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 104,251 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 98,252 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 106,242 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 108,262 grown=2 stale=0 growableB4=192 | cap=201 cov=192 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 116,254 grown=2 stale=0 growableB4=246 | cap=255 cov=248 belowMax=254
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 96,249 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 100,250 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 100,260 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 109,245 grown=2 stale=0 growableB4=246 | cap=255 cov=248 belowMax=254
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 118,250 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 114,264 grown=2 stale=0 growableB4=239 | cap=250 cov=240 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 103,265 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 118,245 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 106,261 grown=2 stale=0 growableB4=44 | cap=60 cov=60 belowMax=240
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 105,257 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 113,256 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 95,254 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 110,259 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 96,256 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 95,258 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 102,258 grown=2 stale=0 growableB4=231 | cap=242 cov=231 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 108,257 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 109,258 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 104,258 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 98,247 grown=2 stale=0 growableB4=69 | cap=79 cov=79 belowMax=245
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 105,247 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 116,241 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 111,254 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 101,249 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 112,252 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 108,252 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 99,259 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 115,246 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 117,261 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 102,243 grown=2 stale=0 growableB4=240 | cap=249 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 117,253 grown=2 stale=0 growableB4=224 | cap=231 cov=224 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 116,260 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 102,253 grown=2 stale=0 growableB4=247 | cap=254 cov=247 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 112,247 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 115,262 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 107,260 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 104,253 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 102,248 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 96,243 grown=2 stale=0 growableB4=239 | cap=253 cov=240 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 99,264 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 107,255 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 106,255 grown=2 stale=0 growableB4=239 | cap=253 cov=240 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 100,254 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 114,251 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 100,244 grown=2 stale=0 growableB4=231 | cap=240 cov=232 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 95,248 grown=2 stale=0 growableB4=50 | cap=66 cov=64 belowMax=242
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 106,251 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 107,250 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 108,255 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 105,246 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 117,258 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 111,249 grown=2 stale=0 growableB4=188 | cap=195 cov=190 belowMax=254
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 100,258 grown=2 stale=0 growableB4=239 | cap=253 cov=240 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 106,246 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 116,247 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 95,263 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 113,253 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 107,247 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 97,251 grown=2 stale=0 growableB4=239 | cap=253 cov=240 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 95,242 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 115,260 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 110,262 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 94,261 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 99,265 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 103,257 grown=2 stale=0 growableB4=246 | cap=256 cov=248 belowMax=254
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 102,249 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 117,243 grown=2 stale=0 growableB4=246 | cap=256 cov=248 belowMax=254
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 111,244 grown=2 stale=0 growableB4=231 | cap=240 cov=231 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 98,264 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 116,242 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 110,254 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 104,247 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 118,257 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=254
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 115,255 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 94,251 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 105,264 grown=2 stale=0 growableB4=189 | cap=200 cov=192 belowMax=253
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 97,254 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 99,246 grown=2 stale=0 growableB4=223 | cap=235 cov=224 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 104,241 grown=2 stale=0 growableB4=247 | cap=254 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 117,262 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 110,247 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 115,247 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 113,243 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 109,265 grown=2 stale=0 growableB4=165 | cap=171 cov=168 belowMax=252
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 109,260 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 117,252 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 108,261 grown=2 stale=0 growableB4=223 | cap=233 cov=224 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 113,262 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 103,247 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 100,253 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 112,251 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 100,245 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 96,244 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 105,259 grown=2 stale=0 growableB4=232 | cap=243 cov=232 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 114,248 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 115,242 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 95,250 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 114,263 grown=2 stale=0 growableB4=246 | cap=256 cov=248 belowMax=254
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 109,250 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 112,245 grown=2 stale=0 growableB4=193 | cap=197 cov=194 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 95,255 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 102,255 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 110,249 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 101,242 grown=2 stale=0 growableB4=197 | cap=211 cov=200 belowMax=253
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 114,258 grown=2 stale=0 growableB4=240 | cap=249 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 109,255 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 98,254 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 94,241 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 105,251 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 118,251 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 94,255 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 114,253 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 108,242 grown=2 stale=0 growableB4=215 | cap=228 cov=216 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 99,252 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 112,264 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 94,245 grown=2 stale=0 growableB4=247 | cap=255 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 106,250 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 101,263 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 114,262 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 109,259 grown=2 stale=0 growableB4=229 | cap=245 cov=232 belowMax=253
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 116,252 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 98,243 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 110,241 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 116,262 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 107,246 grown=2 stale=0 growableB4=246 | cap=256 cov=248 belowMax=254
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 98,253 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 103,241 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 111,259 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 101,247 grown=2 stale=0 growableB4=239 | cap=251 cov=240 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 108,243 grown=2 stale=0 growableB4=229 | cap=239 cov=231 belowMax=254
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 96,260 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 110,255 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 100,259 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 114,243 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 112,258 grown=2 stale=0 growableB4=246 | cap=256 cov=248 belowMax=254
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 117,247 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 101,253 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 96,264 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 115,248 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 109,256 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 108,248 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 101,248 grown=2 stale=0 growableB4=239 | cap=252 cov=240 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 114,259 grown=2 stale=0 growableB4=240 | cap=251 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 95,256 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 96,245 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 103,246 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 99,258 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:48] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 100,246 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
